GIS_PCODE,GIS_Source_Name,Canonical_zone_id,Prototype_id,English_Name,Afaan_Oromo_Name,Amharic_Name,OM_Verification,AM_Verification,Status
"ET0401","West Wellega","west_wellega","w-wellega","West Wellega","Wallagga Lixaa","ምዕራብ ወለጋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0402","East Wellega","east_wellega","e-wellega","East Wellega","Wallagga Bahaa","ምስራቅ ወለጋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0403","Ilu Aba Bora","ilu_aba_bora","ilu-aba-bora","Ilu Aba Bora","Illu Abbaa Boor","ኢሉ አባ ቦራ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0404","Jimma","jimma","jimma","Jimma","Jimmaa","ጅማ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0405","West Shewa","west_shewa","w-shewa","West Shewa","Shawaa Lixaa","ምዕራብ ሸዋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0406","North Shewa (OR)","north_shewa","n-shewa","North Shewa (OR)","Shawaa Kaabaa","ሰሜን ሸዋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0407","East Shewa","east_shewa","e-shewa","East Shewa","Shawaa Bahaa","ምስራቅ ሸዋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0408","Arsi","arsi","arsi","Arsi","Arsii","አርሲ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0409","West Hararge","west_hararghe","w-hararge","West Hararge","Hararghee Lixaa","ምዕራብ ሐረርጌ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0410","East Hararge","east_hararghe","e-hararge","East Hararge","Hararghee Bahaa","ምስራቅ ሐረርጌ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0411","Bale","bale","bale","Bale","Baalee","ባሌ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0412","Borena","borena","borena","Borena","Boorana","ቦረና","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0413","South West Shewa","south_west_shewa","sw-shewa","South West Shewa","Shawaa Kibba Lixaa","ደቡብ ምዕራብ ሸዋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0414","Guji","guji","guji","Guji","Gujii","ጉጂ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0415","West Guji","west_guji","w-guji","West Guji","Gujii Lixaa","ምዕራብ ጉጂ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0416","Buno Bedele","buno_bedele","buno-bedele","Buno Bedele","Buunnoo Beddellee","ቡኖ በደሌ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0417","West Arsi","west_arsi","w-arsi","West Arsi","Arsii Lixaa","ምዕራብ አርሲ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0418","Kelem Wellega","kelem_wellega","kellem-wellega","Kelem Wellega","Qellam Wallagga","ቀለም ወለጋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0419","Horo Gudru Wellega","horo_gudru_wellega","horo-gudru","Horo Gudru Wellega","Horroo Guduruu Wallagga","ሆሮ ጉዱሩ ወለጋ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0420","Shager City","shager_city","finfinne-special","Shager City","Magaalaa Shaggarr","ሸገር ከተማ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0421","East Bale","east_bale","e-bale","East Bale","Baalee Bahaa","ምስራቅ ባሌ","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
"ET0422","East Borena","east_borena","none_new","East Borena","Boorana Bahaa","ምስራቅ ቦረና","pending_bureau_signoff","pending_bureau_signoff","reconciled_v04"
